address,name,country,Latitude,Longitude
Kilimani,Georgiolani,KENYA,-1.2950277,36.7865919
Wood Avenue Kilimani,Dial pharmacy,KENYA,-1.2849714,36.7929833
Paris lounge mirema,Noshmed,KENYA,-1.2109062,36.887089
Lumumba Drive,Mariwa Chemist,KENYA,-1.215894,36.88669160000001
TRM DRIVE,Pecan medical center,KENYA,-1.2185531,36.8884166
Roysambu,Monet Pharmacy,KENYA,-1.2160397,36.888378
Lumumba drive,Mediera pharma limited,KENYA,-1.2167102,36.8909762
Lumumba drive,Sphere pharmacy,KENYA,-1.2159632,36.8892676
Lumumba drive,Flo Dispensing Chemist,KENYA,-1.2158392,36.8870812
Utawala,Alvamed pharmacy,KENYA,-1.2880388,36.972539
Utawala,Gelna pharmacy,KENYA,-1.2800979,36.9646119
"Utawala/Githunguri Road,Bamuri Annex",Nollan Pharmaceuticals,KENYA,,
Utawala,Portico pharmacy,KENYA,-1.2880388,36.972539
Kasarani,Andron Chemist,KENYA,-1.2185276,36.9025676
Kasarani,Thika Drug Suppliers,KENYA,-1.2182814,36.90317
Kasarani,Kasa pharmacy,KENYA,-1.2175498,36.8999314
Kasarani,Kerich pharmaceuticals,KENYA,-1.2177565,36.9010854
Kasarani,Pharmapill,KENYA,-1.2172564,36.9030657
"Kassarani, Hunters Stage",Suncop Guardian Pharmacy,KENYA,-1.2274234,36.9181524
Kasarani,Mobicare,KENYA,-1.2181221,36.899384
Kasarani Hunters opp Mawega plaza,Nelard Pharmaceuticals,KENYA,-1.2266561,36.9187202
Kasarani,Jophycare pharmacy,KENYA,-1.2185332,36.8992969
"cetamol pharmacy utawala,plot no 6845.40",Cetamol pharmacy,KENYA,-1.2883611,36.7431511
Kasarani,Taalamu pharmacy,KENYA,-1.2177184,36.8972675
Kasarani,Taalamu,KENYA,-1.2177184,36.8972675
Kasarani,Tymed pharmacy,KENYA,-1.218034,36.8968239
Catholic rd,Beceran pharmaceutical,KENYA,-1.2352466,36.9344439
Kasarani,Magik pharmacy,KENYA,-1.2174564,36.89684099999999
Kasarani,Utugi Eldad pharmacy,KENYA,-1.2193784,36.8950757
"Mwiki Center Shop, A. C. K. Road, Nairobi, Kenya 9th strt",Mwiki Modern Maternity,KENYA,-1.2374702,36.9303829
Homeland,All health chemist,KENYA,-1.2639715,36.8055808
Mwiki ACK rd Baraka appartments,Uzima bann pharmacy,KENYA,-1.2213263,36.9404267
Buruburu,Hakati pharmacy,KENYA,-1.2846338,36.879465
Buruburu,Medcoza pharmacy,KENYA,-1.2905816,36.8825463
Buruburu phase 3,Ushirika Martian chemist,KENYA,-1.2857393,36.8805009
Umoja,Doc plus pharmacy,KENYA,-1.2844719,36.8863978
Umoja,Doc plus pharmacy,KENYA,-1.2844719,36.8863978
Umoja 125419,Bahati hospital,KENYA,-1.2789745,36.8878536
Umoja,Shukran pharmacy,KENYA,-1.2868387,36.8892662
Umoja Peacock,Dawatone Pharmacy,KENYA,-1.2821462,36.8965375
Umoja,Flawless pharmacy,KENYA,-1.28446,36.8852803
Peacock Umoja,Githimu pharmacy,KENYA,-1.2779878,36.8913308
Umoja,Goldlite pharmacy,KENYA,-1.2801063,36.8994287
142,Cadah,KENYA,,
Umoja 3,Farnharm Chemist,KENYA,-1.2986394,36.8114842
Umoja,Smashchem pharmacy,KENYA,-1.2789879,36.8885698
Opp salfo house komarocks,LC Pharmacy,KENYA,-1.278083,36.9081685
Donholm,Ruby pharmacy,KENYA,-1.2771184,36.915898
Donholm,Rofam pharmacy,KENYA,-1.3032147,36.88943829999999
Kayole,Chaste Pharmacy,KENYA,-1.2778832,36.9079116
Across Shujaa mall,Tenilla Dispensing Chemist,KENYA,-1.2810141,36.9059128
Donholm,Late night chemist,KENYA,-1.3021765,36.8881104
Donholm,Cela pharmacy,KENYA,-1.299483,36.8900842
DONHOLM,MOSAPO,KENYA,-1.2939161,36.8971181
Umoja 2 manyanja road opposite Berean fellowship church,Healthgiving Chemist,KENYA,-1.2840655,36.9003632
Mombasa Road,Cadila,KENYA,-1.3283452,36.8544379
Mkoma Rd,HillyChem,KENYA,-1.3044564,36.8624653
SouthC muhoho road,Niche pharmacy,KENYA,-1.3246911,36.8260391
South c,Bluevalley pharmacy,KENYA,-1.2085918,36.895987
south c,carol pharmacy,KENYA,,
South c five star road,Malkia pharmacy,KENYA,-1.3211449,36.8246014
Thiong'o road,Uzima chemist,KENYA,-1.2561907,36.886177
Thiongo road opposite st Joseph's,Bethany chemist,KENYA,-1.2842674,36.8251474
South c,Primo pharmacy,KENYA,-1.3260965,36.8306457
Amana,Yuzkidahi pharmacy,KENYA,-1.3264112,36.8280327
Lote tree medical center,Late chemist,KENYA,-1.3247989,36.8253472
Sourth C,Amist,KENYA,-1.3152957,36.823283
Madaraka shopping center,Meads pharmacy,KENYA,-1.3071758,36.8188149
Birongo square,Martpharma pharmaceuticals,KENYA,-1.3083725,36.8225792
Langata,Dosefield Chemist,KENYA,-1.3646402,36.7557993
Langata,Ellysad pharmacy,KENYA,-1.3411583,36.7538528
muhoho av,Royale Ruby Chemist,KENYA,-1.3257911,36.8255231
Kahawa wendani,Health Alone pharmacy,KENYA,-1.1895176,36.9330718
"Mawari building, Kahawa wendani",Allium Pharmacy,KENYA,-1.1960351,36.924853
kahawa wendani,Instant Healthcare,KENYA,-1.2729645,36.8198937
"Mwihoko, Githurai",Mwihoko Chemist,KENYA,-1.2069156,36.9206073
Baringo road kahawa sukari,Brimbond chemist,KENYA,-1.1908017,36.9322434
MATHIGU ROAD RUIRU TOWN,MATHIGU ROAD CHEMIST,KENYA,-1.1458857,36.9575814
Ruiru,Stage care phamarcy,KENYA,-1.1471559,36.9598375
Ruiru shopping center,Safari chemist,KENYA,-1.147016,36.9584749
Ruiru,Mzeemoja,KENYA,-1.149004,36.9545488
Ruiru wataalam,St Mary's mother&child hospital/pharmacy,KENYA,-1.1500272,36.9487051
Juja muchatha,Alliance Pharmacy,KENYA,-1.1034773,37.0133129
Along Gate C Street On Rising Cock Hostel Building.,Jubilee-Care Chemist,KENYA,-1.1003338,37.0129017
Green field Juja,Beta care,KENYA,-1.10149,37.0074973
Greenfield Juja,Mosya Chemist,KENYA,-1.3202664,36.8279014
Jkuat gate A,Johdenlife chemist,KENYA,-1.2932365,36.8069317
Kangemi,PHARMATRANS PHARMACY,KENYA,-1.2679455,36.7347859
Marenga road kangemi,Charki wellness chemist,KENYA,-1.2666057,36.7490562
Kangemi,Shangilia Pharmacy,KENYA,-1.269911,36.7537081
Kangemi,Medistry,KENYA,-1.267144,36.7492217
Kangemi,Genesis Pharmacy,KENYA,-1.2679455,36.7347859
Uthiru,Nam pharmacy,KENYA,-1.2619795,36.7183299
Uthiru,Apec pharmacy,KENYA,-1.2636877,36.7198391
Muthua,Zackii2,KENYA,,
Uthiru,Xtraspace pharmacy,KENYA,-1.2636877,36.7198391
Uthiru,Medhealth chemist,KENYA,-1.2618212,36.716945
Rongai,Mwananchi Pharmacy,KENYA,-1.2839381,36.7565275
"Rongai, Kware Market",Maclouds Pharmacy,KENYA,-1.3941255,36.7640763
Kware Rd Rongai,Home Based Medical Point,KENYA,-1.3957459,36.7641564
Rongai,Biostream pharmacy,KENYA,-1.392421,36.7661192
Rongai church road,Lecet pharmacy,KENYA,-1.3926833,36.7565075
"Pbag B516
Lilongwe",Mtendere medicine store,KENYA,-14.0611021,33.8024477
Rongai,Palmed pharmaceuticals,KENYA,-1.3969743,36.7522596
Masaai Lounge Rd,Agonist Pharmacy,KENYA,-1.3905669,36.769985
Maasai Lodge Rd,Messianic Medical center,KENYA,-1.3911108,36.772511
Rongai Maasai lodge,The maasai-lodge chemist,KENYA,-1.390658,36.7698455
Kiambu main stage,Jumalan pharmaceuticals,KENYA,-1.1702655,36.8281975
Kiambu town,Glamic pharmacy,KENYA,-1.170617,36.8278027
Wanjo Business center kiambu town,Narotana Healthcare limited (Gazania),KENYA,-1.1722347,36.8297306
Kiambu opp level 5 hosp,Daniil Chemist,KENYA,-1.1725889,36.830405
Joy arcade opp Kiambu law court,St James Healthcare Kiambu,KENYA,-1.1730482,36.8310179
"Kirigiti, Kamiti Rd",Alzapol Pharmacy,KENYA,-1.1718326,36.8430795
Kirigiti,Vikamed Pharmacy,KENYA,-1.171754,36.8423488
Kabuku,Doran Pharmacy,KENYA,-1.2819111,36.9015256
Githunguri,Hezran pharmacy,KENYA,-1.0569399,36.7791366
Githunguri,Miele pharmacy,KENYA,-1.0569399,36.7791366
Embakasi,Entallos,KENYA,-1.3277841,36.8992458
Imara Daima,Afyamax pharmacy,KENYA,-1.3249655,36.881545
pipeline,Afya Plus Chemist,KENYA,-1.2876736,36.8277787
Wangige Opp Makumi Rd house,Lowland Chemist,KENYA,-1.2205751,36.7128614
near Smarthome supermarket Wangige,Wellright chemist,KENYA,-1.2205128,36.7125344
Wangige center,Jaskiman pharmacy,KENYA,-1.2205207,36.7136889
Gachie Stage,Late Night Gachei Chemist,KENYA,-1.2202898,36.777428
Gachie,NIRA pharmacy,KENYA,-1.2859934,36.8270674
Gachie,Gachie health care centre,KENYA,-1.2148853,36.7675495
Thika town kisii road,Bright springs Pharmacy,KENYA,-1.0367898,37.0755555
Thika town Uhuru strt opp G4S,Executive Care Pharmacy,KENYA,-1.0367428,37.0751811
Thika Stadium Rd,Menya Chemist,KENYA,-1.0358438,37.0766735
Kenyatta highway thika,Metumi chemist,KENYA,-1.0385968,37.0833728
406,Pharmcare,KENYA,-1.2057254,36.9196765
Muthiga,Annointed Pharmacy,KENYA,-1.2493027,36.6845007
Kinoo,Westpark pharmacy,KENYA,-1.2920659,36.8219462
"Wambaa Rd, Muthiga",Health and Vibe Pharmacy,KENYA,-1.2536105,36.6851584
"Kinoo market, ACK rd",Tymar Pharmacy,KENYA,-1.252626,36.693025
MUHURI ROAD,BRISUN PHARMACY,KENYA,-1.2622175,36.7018788
Lucky summer,Falopeace chemist,KENYA,-1.2345294,36.9038803
"1191022 Ruaraka, Alsops",True Life Medical Center,KENYA,-1.2481694,36.8727812
"Standard Drive, Fedha Nyayo Gate B rd",Winston Medical Center,KENYA,-1.3112613,36.8993695
Fedha road,Enclave pharmaceuticals,KENYA,-1.3087658,36.9026882
Across Nyayo Estate gate B,Rosden Chemist,KENYA,-1.3136275,36.8955563
Tassia behind sda central,Mtaragon chemist,KENYA,-1.305929,36.8017079
"makuti kwa ndege, opp nyayo estate",EllaChem Pharmacy,KENYA,-1.3069791,36.9034575
Tassia Embakasi,Bettermed pharmacy,KENYA,-1.3066424,36.8936774
Tassia makuti,Afya pharmacy,KENYA,-1.2920659,36.8219462
Ruaka business center,Quickpharm pharmacy,KENYA,-1.2060097,36.7793977
Ngumo,Milele alpha health care,KENYA,-1.3113378,36.8000697
Ruaka business center,Joeton clinic,KENYA,-1.2076772,36.786096
Ngumo,Senba chemist,KENYA,-1.3195563,36.8371411
Magiwa Estate,A-Life Pharmacy,KENYA,-1.4074515,36.7081014
Ngumo,KER pharmaceuticals,KENYA,-1.3073614,36.8026179
Kapsoya eldoret,Arwet pharmacy,KENYA,-1.2547985,36.7973402
Kenyatta market,Accra Chemist,KENYA,-1.2217569,36.9080716
Kenyatta market,Sage pharmacy,KENYA,-1.2846606,36.8180869
Highrise,Hope health pharmacy,KENYA,-1.325314,36.8970779
Line Saba,Pioneer chemist,KENYA,-1.2713876,36.8204658
Mashimoni,Favour chemist,KENYA,-1.2800182,36.9102202
Maina kibra,JC chemist,KENYA,-1.3080949,36.7834376
Ngina road,Stanas chemist,KENYA,-1.2857,36.81984
"Rounda, Kasarani",Pharmtech Global,KENYA,-1.2588556,36.822989
"Huruma, Mathare",Fairchem Pharmacy,KENYA,-1.2621509,36.8657644
Mathare north road,Sidehill Pharmacy,KENYA,-1.2522439,36.8674089
Huruma,Minton pharmacy,KENYA,-1.2597254,36.8268476
Huruma,Rabkem Pharmaceuticals,KENYA,-1.2609826,36.8777461
Mathare Area 3,Vision Chemist,KENYA,-0.7964785999999999,37.1297872
Kahawa West,Norlac Chemist,KENYA,-1.1863264,36.9079538
Kahawa west,Gleam Pharmacy,KENYA,-1.1862664,36.9077891
Bima road opposite bima medical,Wellion pharmacy,KENYA,-1.2927715,36.8992003
Kahawa west,West Town chemist,KENYA,-1.1852196,36.9068288
Kahawa west,Azera pharmacy,KENYA,-1.1835554,36.9005074
Car wash,Vincom chemist,KENYA,-1.2370383,36.8105896
Chokaa,Marthana pharmacy,KENYA,-1.2490291,36.9528807
Dagoretti Market,Tamalaki Pharmacy,KENYA,-1.2862627,36.6871254
Mukiriti thika,Muscat pharmacy,KENYA,-1.0384145,37.0797569
Kiserian,Lanet Hills chemist,KENYA,-1.4319607,36.6860109
Kiserian,High Breeze Pharmacy,KENYA,-1.4267078,36.6898759
Kiserian stage,Wink pharmacy,KENYA,-1.429409,36.6859081
63 Ngong hills,Defepe what,KENYA,-1.4,36.6380556
Baricuba street California Eastleigh,NEXUSLIFE PHARMACY,KENYA,-1.2799103,36.8524891
Lumumba drive,Monet pharmacy Lumumba,KENYA,-1.2160397,36.888378
Opposite Shujaa Mall Kayole,Tenilla pharmacy ,KENYA,-1.2810141,36.9059128
Jogoo Rd,Beviemma Chemist,KENYA,-1.2937096,36.8613239
Donholm savannah,Medjens Savannah Pharmacy ,KENYA,-1.2971964,36.8940226
Utawala,Humane Pharmacy ,KENYA,-1.3162221,36.8989695
Tassia police post Embakasi,Chrismata pharmacy ,KENYA,-1.3100566,36.9004455
Tassia,Porters pharmacy ,KENYA,-1.3096937,36.8925159
Mooshee,Mooshee,KENYA,-1.2654113,36.99062380000001
Nyakinyua road,Hotel pharmacy ,KENYA,-1.2903664,36.74212929999999
Ts'enola Moreneng ,Homecare Pharmacy ,KENYA,-6.805663,39.2849569
Tradorrete complex ,Ether pharmacy,KENYA,-1.5336,36.7826
"NUL Campus Mzalas Complex Roma, Maseru ",Campus Wellness Pharmacy ,KENYA,-29.4512856,27.7206302
Naivasha road kawangware,Ninalink ,KENYA,-1.2904915,36.7455707
"Opposite MCC primary school,along Catherine dereva road",Sulda chemist,KENYA,-1.3445731,36.6660137
Ruaka town,Quickpharm pharmacy ,KENYA,-1.2060097,36.7793977
Zimmerman base road,Neighborcare chemist ,KENYA,-1.2869045,36.8897774
Zimmerman opposite sohan medical center,Naya Chemist,KENYA,-1.2056004,36.8968523
"Lower tunners ,off kamiti road",Zimmerange pharmacy,KENYA,-1.2087167,36.896422
Roysambu ,Danchly pharmacy ,KENYA,-1.2184133,36.8864857
Zimmerman base,MargPoint Chemist,KENYA,-1.2088443,36.8942172
quickmart,pharmilymed,KENYA,-1.2982701,36.7832207
Green 2,Primo pharmacy ,KENYA,-1.2684709,36.7483516
"Zimmerman Home depo, near mirema",The Maverick's Pharmacy ,KENYA,-1.2132114,36.8941331
Ngumba road ,Waniala chemist ,KENYA,-1.2000161,36.906549
Rurii Road soni,Mwamba chemist ,KENYA,-1.2838269,36.8266216
Githurai 44 opp naivas,Mwethia and company,KENYA,-1.1988382,36.9003649
Ngumba Road ,Waniela chemist ,KENYA,-1.2336062,36.8845344
Nairobi ,NAVIN PHARMACY ,KENYA,-1.1993282,36.9027997
"Kahawa West, Bima Road",Lanipharm ,KENYA,-1.1848684,36.9042414
Next to naivas kahawa west Station road betcam plaza ground floor,Westy pharmacy,KENYA,-1.1850146,36.9054398
K west karura road,Safechem Pharmacy ,KENYA,-1.263844,36.807778
Mlolongo ,Mesh plus  pharmacy ,KENYA,-1.374064,36.9231444
Golden medical clinic ,Golden medical clinic ,KENYA,-1.3943972,36.9419602
Mlolongo impala road,Kwa Hope Chemist,KENYA,-1.3951472,36.9417751
Embakasi athi river,Abby chemist,KENYA,-1.4522902,36.974174
"AthiRiver ,Mbwesen Business centre building. ",Contract Pharmaceutocals-Kenya,KENYA,-1.4582262,36.9770502
Arusha meat den kitengela,Adonai pharmacy,KENYA,-1.4761648,36.95818939999999
"Old namanga ,Old Coca Cola Kitengela ",BENICE ,KENYA,-1.4823212,36.9546342
Mirema drive Nairobi ,Epsilon ,KENYA,-1.3186397,36.8351987
kaira,kokuuu,KENYA,-1.2913603,36.7339344
Deliverance road kitengela,Nimomed Pharmacy ,KENYA,-1.4818884,36.9583585
Kahawa Wendani,Allium Pharmacy,KENYA,-1.1960351,36.924853
Kahawa Wendani,Allium Pharmacy,KENYA,-1.1960351,36.924853
kangemi,Obare Pharmacy,KENYA,-1.2679455,36.7347859
There,Trial,KENYA,-1.2920659,36.8219462
Wanyee Road,Eloc pharmacy ,KENYA,-1.2953742,36.7455442
Wanyee rd ,BONIS CHEMIST ,KENYA,-1.2949474,36.7478597
Kabiria Road ,Fast Health Pharmacy ,KENYA,-1.2908275,36.7327734
South B,Ark Digital,KENYA,-1.2608164,36.87744
Zimmerman center,Domain Care Pharmacy,KENYA,-1.2085276,36.8997757
Zimmerman Canopy,Nolan pharmacy ,KENYA,-1.2059489,36.8952592
Zimmerman near canopy club,Hallion medical center ,KENYA,-1.2063005,36.8948593
Liwonde next to national bank,K&A pharmacy ,KENYA,-15.0694115,35.2270731
420 Boulevard ,BetterHerbPharm(Test),KENYA,-1.2885807,36.7434526
Greenspot,The marshchem pharmacy,KENYA,-1.2047323,36.8959688
Kamakis,Jufan Pharmacy,KENYA,-1.1650403,36.9696471
Buruburu phase 5 sportpharm,Sportpharm chemist,KENYA,-1.2937908,36.8797927
Ngumba road,Blueline pharmacy ,KENYA,-1.2085918,36.895987
Githurai 45 gumba road,Jobbs chemist,KENYA,-1.2033456,36.9152292
Roundabout kahawa west ,Meditrade Pharmacy ,KENYA,-1.1851495,36.9069121
"Telegram Mall, Mlolongo",Dejan Pharmacy ,KENYA,-1.3916977,36.9405783
LIBERTY centre- Lang'ata Road ,Care-Plan Pharmacy ,KENYA,-1.3246697,36.7833155
Kabiria stage ,Lenmed pharmacy ,KENYA,-1.290656,36.7320028
Mlolongo police line,Jovi Pharmaceuticals ,KENYA,-1.3685031,36.9401517
Mlolonngo capstatiin lane,Gallys pharmacy,KENYA,-1.3319206,36.8571633
Mlolongo next to Family bank,Bujagali pharmacy ,KENYA,-1.3909593,36.9403984
Behind 3D's ,Maxwell chemist ,KENYA,,
Rpahta,Rapta Pharmacy,KENYA,-1.2611605,36.80197769999999
,Ultra Care Pharma,KENYA,-1.3272867,36.8915077
Archives,Lylide,KENYA,-1.2848354,36.8260022
National oil,Saaynex pharmacy ,KENYA,-1.2778042,36.9001114
Next Rubis Petro station opposite Powerstar Super market,Highcare pharmaceuticals ltd,KENYA,-1.2779609,36.8913474
"Kitengela, Deliverance Rd, Newton House",Kasrut pharmacy,KENYA,-1.4928076,37.2463473
Balozi road,Chiron Mediplus pharmacy ,KENYA,-1.4871967,36.9572101
Donhlom cartex ,M&M Westbrook Chemist,KENYA,-1.2897651,36.8971625
Donholm phase 5,Emmanuel Medical Center ,KENYA,-1.2925546,36.8998552
Donholm ,Sawalink pharmacy ,KENYA,-1.3018248,36.8901475
Donholm ,Bonmed healthcare services ,KENYA,-1.3016847,36.888386
Kahawa Sukari,Sukari Chemist,KENYA,-1.1894764,36.93286459999999
"Umoja,mtindwa",Goldlite pharmacy ,KENYA,-1.2846423,36.8848093
Dimples Supermarket Mutindwa Stage Umoja,Citation pharmacy ,KENYA,-1.2847919,36.884249
Umoja 1 SDA,ANGELLIC STAR PHARMACY ,KENYA,-1.2844625,36.885289
Deliverance Umoja,Sportmeds pharmacy ,KENYA,-1.2825103,36.902564
Umoja1 next to images guest house ,Fairdeal chemist,KENYA,-1.2820254,36.8969438
Umoja 1 Moi drive,Barnos Medicare ,KENYA,-1.2832919,36.8884715
Ruiru ,Benpeny Chemist,KENYA,-1.1469238,36.9587031
Kimbo ,Minimall pharmacy ,KENYA,-1.2075997,36.9289285
Kimbo Stage,Pharmatrans Ltd Pharmacy,KENYA,-1.14825,36.9604534
Kingajo bypass ,MEGAWELL PHARMACY,KENYA,-1.0734595,37.0952195
Conner 3 kiganjo,Jannice  chemist ,KENYA,-1.2864807,36.8229751
Utawala AP,Transit Pharmacy ,KENYA,-1.2807586,36.9642067
muthiga,wastpak,KENYA,-1.2289065,36.8418067
Maxima pharmaceuticals ,Maxima pharmaceuticals ,KENYA,-1.2891915,36.7535798
alexisjorge44@gmail.com,Galex pharmaceutical ,KENYA,-1.2884033,36.75050090000001
Kawangware soko mjinga,Fred chemist,KENYA,-1.2859995,36.7455585
ngumba road,blueline medical centre,KENYA,-1.2002097,36.9087252
Opposite Juja City Mall Maua,FIG TREE MEDICAL CENTRE,KENYA,-1.1254835,37.0034246
Witethie ,Witethie One Afyacare Chemist,KENYA,-1.2530089,36.8883399
Witeithie,Kernan life hospital ,KENYA,-1.235154,36.6750586
Witeithie,Peace chemist,KENYA,-1.3923534,36.7485674
WIEITHIE,MEDIZONE PHARMACY ,KENYA,-1.066585,37.0524759
Cross road thika,Dawasawa,KENYA,-1.0352467,37.07526
Vismed Medical Centre ,Vismed Healthcare Services ,KENYA,-1.0400151,37.0418154
THIKA CBD WHITELINE,MEDICRAFT PHARMACY,KENYA,-1.0534198,37.0729118
Unique supermarket Ngoingwa ,New Ngoingwa pharmacy ,KENYA,-1.0397071,37.04070859999999
"Syokimau ,Syokimart Buiding, Katani rd",Badge Pharmacy ,KENYA,-1.3647519,36.9454922
Syokimau katani rd,Rejona chemist,KENYA,-1.3687156,36.9169863
Thika. makongeni ,PANDE pharmacy ,KENYA,-1.0569879,37.1106545
"Syokimau,Syokimart Building",Badge Pharmacy,KENYA,-1.3647519,36.9454922
Imara daima kwa chief,Sapphire Pharmacy,KENYA,-1.3220917,36.8448685
KM,Hopepharm ,KENYA,-1.3956224,36.7641454
Matasia ,ENOOMAT ,KENYA,-1.2827439,36.8160566
Deliverance church ,Emunyani Medical Chemist,KENYA,-1.3898858,36.6812463
Matasia Deliverance church,Emunyani Medical Centre ,KENYA,-1.3069176,36.8021955
Kitengela ,Kyle Pharmacy,KENYA,-1.4823349,36.9601443
"Kirima, Njiru",Brievana Chemist,KENYA,-1.2497358,36.9528599
kitengela Deliverance road,Kyle Pharmacy Ltd,KENYA,-1.4823349,36.9601443
mwereri rd,floram pharmacy,KENYA,-1.4756257,36.957177
Syokimau,LIFE-CHEK PHARMACY,KENYA,-1.3767998,36.925761
